road_id,cell_id,n_cells,cell_fraction_center,truth_density,mean_density,abs_error
725,14,33,0.4090909091,0.2673699304,0.2673699304,0
725,15,33,0.4393939394,0.2594842872,0.2594842872,0
725,16,33,0.4696969697,0.2525067089,0.2525067089,0
725,17,33,0.5,0.2466624786,0.2466624786,0
725,18,33,0.5303030303,0.2421636502,0.2421636502,0
725,19,33,0.5606060606,0.2392032836,0.2392032836,0
725,20,33,0.5909090909,0.2379474246,0.2379474246,0
725,21,33,0.6212121212,0.2385245541,0.2385245541,0
725,22,33,0.6515151515,0.2410125158,0.2410125158,0
725,23,33,0.6818181818,0.2454234617,0.2454234617,0
725,24,33,0.7121212121,0.2516881723,0.2516881723,0
725,25,33,0.7424242424,0.2596421728,0.2596421728,0
725,26,33,0.7727272727,0.2690171581,0.2690171581,0
725,27,33,0.803030303,0.2794418706,0.2794418706,0
725,28,33,0.8333333333,0.2904560981,0.2904560981,0
725,29,33,0.8636363636,0.3015393208,0.3015393208,0
725,30,33,0.8939393939,0.3121518294,0.3121518294,0
725,31,33,0.9242424242,0.321781977,0.321781977,0
725,32,33,0.9545454545,0.3299905187,0.3299905187,0
725,33,33,0.9848484848,0.3364433544,0.3364433544,0
726,1,15,0.03333333333,0.285720344,0.285720344,0
726,2,15,0.1,0.2675816313,0.2675816313,0
726,3,15,0.1666666667,0.2492031348,0.2492031348,0
726,4,15,0.2333333333,0.2301720042,0.2301720042,0
726,5,15,0.3,0.2102224606,0.2102224606,0
726,6,15,0.3666666667,0.189491034,0.189491034,0
726,7,15,0.4333333333,0.1684208598,0.1684208598,0
726,8,15,0.5,0.1475716026,0.1475716026,0
726,9,15,0.5666666667,0.1274794511,0.1274794511,0
726,10,15,0.6333333333,0.1085916194,0.1085916194,0
726,11,15,0.7,0.0912545843,0.0912545843,0
726,12,15,0.7666666667,0.07573325008,0.07573325008,0
726,13,15,0.8333333333,0.06224515817,0.06224515817,0
726,14,15,0.9,0.05099725471,0.05099725471,0
726,15,15,0.9666666667,0.04223840043,0.04223840043,0
727,1,15,0.03333333333,0.2829960632,0.2829960632,0
727,2,15,0.1,0.2840633749,0.2840633749,0
727,3,15,0.1666666667,0.2952684423,0.2952684423,0
